UDI,Product_ID,Type,Air_temperature_K_,Process_temperature_K_,Rotational_speed_rpm_,Torque_Nm_,Tool_wear_min_,Failure_Type
80,SM 3,L,298.8,308.9,1402,37.9,2,No Failure
81,SM 1,H,298.8,308.8,1445,49.9,4,No Failure
82,SM 3,L,298.9,308.9,1450,47.5,9,No Failure
83,SM 3,L,298.9,308.9,1453,40.8,11,No Failure
84,SM 3,L,299,309,1469,40.1,13,No Failure
85,SM 3,L,298.9,308.9,1422,47.6,15,No Failure
86,JSW 50,M,299,309,1804,26.8,17,No Failure
87,SM 1,H,299,309,1436,43.9,20,No Failure
88,SM 3,L,299,309,1544,31.8,25,No Failure
89,JSW 50,M,299,309,1419,45.2,27,No Failure
90,JSW 50,M,298.9,308.9,1487,39.5,30,No Failure
91,SM 3,L,298.9,308.9,1753,25.8,33,No Failure
92,SM 3,L,298.9,308.9,1830,24.9,35,No Failure
93,JSW 50,M,298.9,308.9,1727,27.1,37,No Failure
94,SM 3,L,299.1,309,1450,43,40,No Failure
95,SM 3,L,299,308.9,1622,31.9,42,No Failure
96,JSW 50,M,299,309,1351,52.2,44,No Failure
97,JSW 50,M,299,309,1575,35.3,47,No Failure
98,JSW 50,M,298.9,308.9,1750,29.9,50,No Failure
99,SM 3,L,298.9,308.8,1529,32.7,53,No Failure
100,SM 3,L,298.8,308.8,1523,44.4,55,No Failure
101,SM 3,L,298.8,308.9,1852,25,57,No Failure
102,SM 3,L,298.8,308.8,1991,20.7,59,No Failure
103,SM 3,L,298.8,308.8,1555,40.6,61,No Failure
104,JSW 50,M,298.8,308.8,1441,40.5,63,No Failure
105,SM 3,L,298.8,308.7,1450,43.4,66,No Failure
106,SM 3,L,298.8,308.7,1591,31.1,68,No Failure
107,SM 3,L,298.8,308.7,1445,48.5,70,No Failure
108,JSW 50,M,298.8,308.8,1497,46.8,72,No Failure
109,SM 1,H,298.9,308.8,1621,32.7,75,No Failure
110,SM 3,L,298.9,308.7,1572,34.1,80,No Failure
111,SM 3,L,298.8,308.6,1872,22.5,82,No Failure
112,SM 1,H,298.7,308.6,1499,43.5,84,No Failure
113,JSW 50,M,298.8,308.7,1498,39.5,89,No Failure
114,JSW 50,M,298.8,308.6,1486,41.9,92,No Failure
115,SM 3,L,298.8,308.6,1680,29.4,95,No Failure
116,SM 3,L,298.8,308.6,1431,45.7,97,No Failure
117,SM 3,L,298.9,308.7,1564,34.1,99,No Failure
118,SM 3,L,298.8,308.6,1599,33,101,No Failure
119,JSW 50,M,298.8,308.6,1707,28.1,103,No Failure
120,SM 3,L,298.7,308.5,1467,40.7,106,No Failure
121,SM 3,L,298.9,308.7,1433,44.7,108,No Failure
122,SM 3,L,298.9,308.7,1558,41.2,110,No Failure
123,SM 3,L,299,308.8,1310,50.7,112,No Failure
124,SM 3,L,298.9,308.7,1546,43.4,114,No Failure
125,SM 3,L,298.9,308.7,1727,29.4,116,No Failure
126,SM 3,L,298.9,308.6,1560,32.2,118,No Failure
127,SM 3,L,299,308.6,1329,60.5,120,No Failure
128,SM 3,L,298.9,308.6,1413,46.5,122,No Failure
129,SM 3,L,299,308.6,1587,38.6,124,No Failure
130,SM 3,L,298.9,308.5,1559,34.3,126,No Failure
131,SM 3,L,298.8,308.4,1473,41.1,128,No Failure
132,SM 3,L,298.8,308.4,1737,27.7,130,No Failure
133,JSW 50,M,298.7,308.4,1441,43.2,132,No Failure
134,JSW 50,M,298.7,308.4,1430,49.6,135,No Failure
135,SM 3,L,298.8,308.4,1369,53,138,No Failure
136,JSW 50,M,298.8,308.5,1711,28.5,140,No Failure
137,SM 1,H,298.7,308.5,1420,45.7,143,No Failure
138,SM 3,L,298.7,308.6,1297,55.3,148,No Failure
139,SM 1,H,298.8,308.6,1449,49.4,150,No Failure
140,SM 3,L,298.8,308.6,1268,55.8,155,No Failure
141,SM 3,L,298.8,308.6,1511,36.1,157,No Failure
142,SM 3,L,298.7,308.5,1544,35.2,159,No Failure
143,JSW 50,M,298.6,308.4,1778,28.2,161,No Failure
144,SM 1,H,298.6,308.4,1407,50.5,164,No Failure
145,JSW 50,M,298.6,308.4,1391,42.4,169,No Failure
146,SM 3,L,298.5,308.4,1513,33.6,172,No Failure
147,SM 1,H,298.5,308.4,1612,36.1,174,No Failure
148,SM 3,L,298.4,308.4,1515,40.1,179,No Failure
149,JSW 50,M,298.3,308.3,1379,48,181,No Failure
150,SM 3,L,298.4,308.3,1473,39.9,184,No Failure
151,SM 3,L,298.4,308.3,1422,42.7,186,No Failure
152,JSW 50,M,298.4,308.2,1463,37.6,188,No Failure
153,JSW 50,M,298.4,308.2,1584,41,191,No Failure
154,SM 3,L,298.4,308.2,1850,27,194,No Failure
155,SM 3,L,298.4,308.2,1528,36.2,196,No Failure
156,SM 1,H,298.4,308.2,1987,19.8,198,No Failure
157,JSW 50,M,298.4,308.1,1495,46,203,No Failure
158,SM 1,H,298.4,308.2,1478,43.5,206,No Failure
159,JSW 50,M,298.4,308.2,1499,40,211,No Failure
160,SM 3,L,298.4,308.2,1471,47,214,No Failure
161,SM 3,L,298.4,308.2,1282,60.7,216,Overstrain Failure
162,SM 3,L,298.3,308.1,1412,52.3,218,Overstrain Failure
163,SM 3,L,298.3,308.1,1586,35.5,0,No Failure
164,JSW 50,M,298.4,308.2,1468,43.8,2,No Failure
165,JSW 50,M,298.5,308.3,1440,43.6,5,No Failure
166,SM 3,L,298.5,308.4,1733,26,8,No Failure
167,SM 1,H,298.4,308.2,1612,32.6,10,No Failure
168,SM 1,H,298.4,308.3,1458,42.9,15,No Failure
169,SM 3,L,298.4,308.3,1433,62.3,20,Power Failure
170,SM 3,L,298.4,308.3,1318,59.1,22,No Failure
171,NED 15,M,298.4,308.2,1610,35,24,No Failure
172,SM 3,L,298.2,308.1,1462,50.8,27,No Failure
173,NED 15,M,298.1,308,1924,20.8,29,No Failure
174,NED 15,M,298.2,308,1591,33.7,32,No Failure
175,SM 3,L,298.2,308.1,1306,58.3,35,No Failure
176,SM 3,L,298.2,308.1,1382,43.5,37,No Failure
177,SM 3,L,298.2,308.1,1618,34.7,39,No Failure
178,SM 3,L,298.2,308.2,1988,21.4,41,No Failure
179,SM 3,L,298.2,308.2,1436,50.2,43,No Failure
180,SM 3,L,298.2,308.3,1304,49.8,45,No Failure
181,SM 3,L,298.2,308.3,1475,49.9,47,No Failure
182,SM 1,H,298.2,308.3,1824,24.2,49,No Failure
183,NED 15,M,298.1,308.2,1342,48.1,54,No Failure
184,SM 3,L,298.1,308.2,1485,40.7,57,No Failure
185,SM 3,L,298.2,308.2,1667,30.6,59,No Failure
186,SM 3,L,298.2,308.2,1446,38.2,61,No Failure
187,SM 3,L,298.1,308.3,1301,56,63,No Failure
188,SM 3,L,298.2,308.4,1379,43.1,65,No Failure
189,SM 3,L,298.3,308.5,1606,33.6,67,No Failure
190,NED 15,M,298.3,308.4,1539,43.4,69,No Failure
191,SM 3,L,298.2,308.4,1477,49.9,72,No Failure
192,SM 3,L,298.2,308.4,1666,34.6,74,No Failure
193,SM 1,H,298.2,308.4,1398,51.8,76,No Failure
194,SM 1,H,298.2,308.4,1678,34.6,81,No Failure
195,NED 15,M,298.2,308.5,2678,10.7,86,Power Failure
196,SM 3,L,298.3,308.5,1453,42.9,89,No Failure
197,SM 1,H,298.3,308.6,1432,49.5,91,No Failure
198,M15057,M,298.4,308.6,1527,40.9,96,No Failure
199,SM 3,L,298.4,308.7,1588,35,99,No Failure
200,SM 3,L,298.4,308.6,1433,47.1,101,No Failure
201,SM 3,L,298.4,308.6,1609,35,103,No Failure
202,SM 3,L,298.3,308.5,1575,41.2,105,No Failure
203,NED 15,M,298.4,308.5,1636,35.7,107,No Failure
204,SM 3,L,298.4,308.5,1490,37.9,110,No Failure
205,SM 3,L,298.4,308.5,1741,32.8,112,No Failure
206,NED 15,M,298.5,308.6,1344,53,114,No Failure
207,SM 3,L,298.5,308.7,1609,35.3,117,No Failure
208,NED 15,M,298.4,308.7,1421,60.7,119,Power Failure
209,SM 3,L,298.4,308.6,1591,36.7,122,No Failure
210,SM 3,L,298.4,308.6,1477,44,124,No Failure
211,SM 3,L,298.4,308.7,1523,36.1,126,No Failure
212,SM 3,L,298.5,308.7,1575,33.9,128,No Failure
213,SM 1,H,298.4,308.7,1344,52.9,130,No Failure
214,SM 3,L,298.4,308.7,1386,44.9,135,No Failure
215,NED 15,M,298.3,308.6,1589,37.1,137,No Failure
216,SM 3,L,298.3,308.6,1548,40.3,140,No Failure
217,SM 3,L,298.3,308.6,1499,38.3,142,No Failure
218,SM 3,L,298.3,308.5,1664,31.6,144,No Failure
219,SM 3,L,298.3,308.6,1447,38.1,146,No Failure
220,NED 15,M,298.3,308.5,1434,46.2,148,No Failure
221,SM 3,L,298.3,308.5,1416,52.7,151,No Failure
222,SM 1,H,298.4,308.5,1827,24.3,153,No Failure
223,SM 3,L,298.4,308.6,1304,45,158,No Failure
224,SM 3,L,298.4,308.6,1569,34.4,160,No Failure
225,SM 3,L,298.3,308.6,1584,29.3,162,No Failure
226,SM 3,L,298.3,308.5,1362,53.8,164,No Failure
227,SM 3,L,298.3,308.4,1329,49.2,166,No Failure
228,SM 3,L,298.3,308.5,1539,36.1,168,No Failure
229,NED 15,M,298.3,308.5,1629,37.1,170,No Failure
230,SM 3,L,298.3,308.5,1538,32.2,173,No Failure
231,SM 3,L,298.3,308.6,1570,34.8,175,No Failure
232,SM 3,L,298.3,308.4,1408,43.1,177,No Failure
233,SM 3,L,298.2,308.4,1424,47.6,179,No Failure
234,SM 3,L,298.2,308.4,1512,34.9,181,No Failure
235,SM 3,L,298.2,308.4,1478,42.9,183,No Failure
236,M15058,M,298.1,308.3,1680,33.7,185,No Failure
237,SM 3,L,298.1,308.3,1495,38.7,188,No Failure
238,NED 15,M,298,308.1,1552,36.6,190,No Failure
239,SM 3,L,297.9,308.1,1393,50.3,193,No Failure
240,SM 3,L,298,308.2,1611,30.6,195,No Failure
241,NED 15,M,298,308.1,1339,51.6,197,No Failure
242,SM 3,L,298,308.1,1777,24.3,200,No Failure
243,SM 3,L,298,308.2,1348,58.8,202,Overstrain Failure
244,SM 3,L,298,308.2,1442,44.1,204,No Failure
245,NED 15,M,298,308.2,1395,49.1,206,No Failure
246,NED 15,M,297.9,308.1,1627,31.4,209,No Failure
247,SM 3,L,297.9,308.1,1585,33.5,212,No Failure
248,SM 3,L,298,308.2,1469,45.5,214,No Failure
249,SM 3,L,298,308.3,1362,56.8,216,Overstrain Failure
250,SM 3,L,298,308.3,1405,56.2,218,Overstrain Failure
251,SM 3,L,298,308.3,1662,32.7,0,No Failure
252,NED 15,M,298,308.2,1466,42.6,2,No Failure
253,SM 3,L,298,308.2,1620,35.8,5,No Failure
254,SM 3,L,298,308.2,1357,48.2,7,No Failure
255,SM 3,L,298,308.2,1514,37.9,9,No Failure
256,SM 3,L,298,308.2,1489,40.4,11,No Failure
257,SM 3,L,298.1,308.3,1331,63,13,No Failure
258,SM 3,L,298,308,1615,29.5,15,No Failure
259,SM 3,L,298.1,308.2,1482,37.9,17,No Failure
260,NED 15,M,298.1,308.2,1420,63.9,19,Power Failure
261,M15059,M,298.2,308.3,1522,49.1,22,No Failure
262,SM 3,L,298.1,308.2,1654,32.1,25,No Failure
263,NED 15,M,298.1,308.2,1736,26.8,27,No Failure
264,NED 15,M,298,308.1,1587,32.3,30,No Failure
265,SM 3,L,298.1,308.2,1390,47.5,33,No Failure
266,SM 3,L,298,308.1,1454,37.1,35,No Failure
267,SM 1,H,298,308.1,1440,43.7,37,No Failure
268,SM 3,L,297.9,308,1954,21.1,42,No Failure
269,SM 1,H,297.9,308,1800,24.8,44,No Failure
270,SM 3,L,298,308,1524,37,49,No Failure
271,SM 1,H,298,308,1520,39.6,51,No Failure
272,NED 15,M,298.1,308.1,1452,40.8,56,No Failure
273,SM 3,L,298.1,308.1,1484,40.4,59,No Failure
274,SM 3,L,298.1,308,1426,46,61,No Failure
275,SM 3,L,298.1,308,1652,28.5,63,No Failure
276,SM 3,L,298,308,1401,54.7,65,No Failure
277,NED 15,M,298,307.9,1750,26.6,67,No Failure
278,SM 1,H,298,308,1479,50.7,70,No Failure
279,NED 15,M,298,308,1620,29.4,75,No Failure
280,SM 3,L,298,308.1,1819,23.4,78,No Failure
281,NED 15,M,298.1,308.1,1456,43.7,80,No Failure
282,SM 3,L,298.1,308,1626,36.5,83,No Failure
283,M15060,M,298.1,308.1,1390,49.8,85,No Failure
284,SM 3,L,298.2,308.2,1469,43,88,No Failure
285,SM 3,L,298.2,308.3,2051,19.2,90,No Failure
286,SM 3,L,298.2,308.3,1568,36,92,No Failure
287,SM 3,L,298.2,308.3,1589,33.2,94,No Failure
288,SM 3,L,298.2,308.3,1805,31.6,96,No Failure
289,SM 1,H,298.2,308.4,1385,42.2,98,No Failure
290,SM 3,L,298.1,308.4,1436,46.7,103,No Failure
291,SM 3,L,298.1,308.4,1438,45.6,105,No Failure
292,SM 3,L,298,308.3,1473,42.6,107,No Failure
293,SM 3,L,298.1,308.4,1335,40.2,109,No Failure
294,SM 1,H,298.1,308.5,1392,44.8,111,No Failure
295,NED 15,M,298.1,308.5,1372,51.1,116,No Failure
296,NED 15,M,298.1,308.6,1716,30.7,119,No Failure
297,SM 3,L,298,308.5,1395,46.2,122,No Failure
298,SM 3,L,298,308.5,1713,25.3,124,No Failure
299,SM 1,H,297.9,308.5,2129,18.7,126,No Failure
300,NED 15,M,297.8,308.3,1567,35.6,131,No Failure
301,SM 3,L,297.8,308.4,1622,38.3,134,No Failure
302,SM 3,L,297.7,308.4,1740,27.1,136,No Failure
303,SM 1,H,297.8,308.4,1512,35.1,138,No Failure
304,NED 15,M,297.8,308.4,1479,43.5,143,No Failure
305,SM 3,L,297.8,308.4,1737,27.5,146,No Failure
306,SM 3,L,297.8,308.4,2129,19.2,148,No Failure
307,SM 3,L,297.8,308.4,1374,47.1,150,No Failure
308,NED 15,M,297.8,308.4,1579,36.6,152,No Failure
309,SM 3,L,297.9,308.5,1305,47.2,155,No Failure
310,NED 15,M,297.9,308.5,1449,40.8,157,No Failure
311,SM 1,H,298,308.6,1526,41.8,160,No Failure
312,M15061,M,298,308.6,1453,44.1,165,No Failure
313,SM 3,L,297.9,308.6,1468,36,168,No Failure
314,SM 3,L,298,308.6,1313,50.8,170,No Failure
315,NED 15,M,297.9,308.5,1300,53,172,No Failure
316,SM 3,L,297.9,308.4,1646,40.6,175,No Failure
317,SM 3,L,297.8,308.4,1714,33.2,177,No Failure
318,SM 3,L,297.8,308.4,1685,28.4,179,No Failure
319,SM 3,L,297.8,308.4,1512,39.9,181,No Failure
320,SM 3,L,297.8,308.4,1612,32.1,183,No Failure
321,SM 1,H,297.8,308.4,1550,38.2,185,No Failure
322,SM 3,L,297.8,308.4,1518,32.5,190,No Failure
323,SM 3,L,297.8,308.5,1448,40,192,No Failure
324,SM 3,L,297.8,308.5,1561,46.3,194,No Failure
325,NED 15,M,297.8,308.5,1488,41.9,196,No Failure
326,SM 3,L,297.8,308.5,1699,27.8,199,No Failure
327,SM 3,L,297.7,308.5,1501,41.4,201,No Failure
328,SM 3,L,297.7,308.5,1373,56.7,203,Overstrain Failure
329,SM 1,H,297.6,308.4,1703,31.4,205,No Failure
330,SM 1,H,297.7,308.5,1720,29.9,210,No Failure
331,NED 15,M,297.6,308.4,1398,41.9,215,No Failure
332,NED 15,M,297.6,308.4,1391,51.9,218,No Failure
333,NED 15,M,297.6,308.3,1538,40.2,0,No Failure
334,SM 3,L,297.5,308.2,1647,31.3,3,No Failure
335,NED 15,M,297.5,308.1,1469,44.8,5,No Failure
336,SM 3,L,297.4,308.1,1749,25.9,8,No Failure
337,M15062,M,297.6,308.2,1995,20.5,10,No Failure
338,SM 3,L,297.6,308.3,1742,27.7,13,No Failure
339,SM 3,L,297.5,308.2,1563,38.2,15,No Failure
340,NED 15,M,297.5,308.2,1713,32.2,17,No Failure
341,SM 3,L,297.4,308.1,1474,39.4,20,No Failure
342,NED 15,M,297.4,308.2,1530,32.6,22,No Failure
343,SM 3,L,297.4,308.2,1471,46.5,25,No Failure
344,SM 3,L,297.5,308.3,1388,48.6,27,No Failure
345,NED 15,M,297.5,308.2,2448,13.8,29,No Failure
346,SM 3,L,297.5,308.3,1585,32.9,32,No Failure
347,NED 15,M,297.5,308.3,1459,45.2,34,No Failure
348,SM 3,L,297.5,308.3,1544,40.8,37,No Failure
349,SM 3,L,297.6,308.3,1617,31.7,39,No Failure
350,SM 3,L,297.6,308.3,1595,34.3,41,No Failure
351,SM 1,H,297.6,308.3,1400,44.3,43,No Failure
352,NED 15,M,297.6,308.4,1611,31,48,No Failure
353,NED 15,M,297.6,308.4,1507,46,51,No Failure
354,SM 1,H,297.5,308.3,1674,30,54,No Failure
355,SM 3,L,297.6,308.3,1658,34.3,59,No Failure
356,SM 3,L,297.6,308.3,1623,36.9,61,No Failure
357,M15063,M,297.6,308.4,1398,48.9,63,No Failure
358,SM 3,L,297.6,308.4,1517,34.2,66,No Failure
359,NED 15,M,297.6,308.3,1467,36.7,68,No Failure
360,NED 15,M,297.6,308.3,1567,34.6,71,No Failure
361,NED 15,M,297.5,308.3,1521,38.2,74,No Failure
362,SM 3,L,297.5,308.3,1596,36.8,77,No Failure
363,SM 1,H,297.6,308.3,1640,30.9,79,No Failure
364,SM 3,L,297.6,308.3,1438,47.8,84,No Failure
365,SM 3,L,297.6,308.4,1407,55.2,86,No Failure
366,SM 3,L,297.6,308.4,1353,57.5,88,No Failure
367,NED 15,M,297.6,308.5,1552,40.9,90,No Failure
368,NED 15,M,297.6,308.4,1569,38.3,93,No Failure
369,SM 3,L,297.5,308.4,1489,39.5,96,No Failure
370,SM 1,H,297.5,308.4,1587,36.1,98,No Failure
371,NED 15,M,297.5,308.3,1622,37.2,103,No Failure
372,SM 3,L,297.5,308.4,1604,38.1,106,No Failure
373,M15064,M,297.4,308.3,1405,51.7,108,No Failure
374,SM 3,L,297.4,308.3,1412,42,111,No Failure
375,SM 3,L,297.4,308.3,1431,43,113,No Failure
376,SM 3,L,297.4,308.2,1533,37.4,115,No Failure
377,NED 15,M,297.4,308.2,1401,51.9,117,No Failure
378,NED 15,M,297.4,308.2,1424,53.9,120,No Failure
379,SM 3,L,297.3,308.2,1754,29.4,123,No Failure
380,SM 3,L,297.3,308.2,1754,26.8,125,No Failure
381,SM 3,L,297.5,308.3,2564,12.8,127,Power Failure
382,SM 3,L,297.5,308.5,1546,40.4,129,No Failure
383,SM 3,L,297.5,308.5,1335,48,131,No Failure
384,NED 15,M,297.5,308.6,1842,27,133,No Failure
385,SM 3,L,297.5,308.5,1712,26.8,136,No Failure
386,NED 15,M,297.6,308.6,1414,45.4,138,No Failure
387,SM 3,L,297.6,308.7,1319,50.9,141,No Failure
388,SM 3,L,297.7,308.7,1249,60.4,143,No Failure
389,SM 3,L,297.6,308.7,1455,48.2,145,No Failure
390,NED 15,M,297.6,308.7,1408,54.8,147,No Failure
391,SM 3,L,297.6,308.7,1460,46.7,150,No Failure
392,SM 3,L,297.6,308.6,1491,38.1,152,No Failure
393,NED 15,M,297.6,308.5,1490,43.4,154,No Failure
394,M15065,M,297.5,308.4,1350,52.2,157,No Failure
395,SM 3,L,297.5,308.4,1528,39.9,160,No Failure
396,SM 3,L,297.4,308.3,1571,37.7,162,No Failure
397,SM 3,L,297.4,308.3,1490,42.6,164,No Failure
398,NED 15,M,297.4,308.3,1774,28.9,166,No Failure
399,SM 1,H,297.4,308.3,1502,43.6,169,No Failure
400,SM 3,L,297.4,308.4,1392,49.7,174,No Failure
401,SM 3,L,297.4,308.5,2100,16.9,176,No Failure
402,SM 3,L,297.5,308.5,1722,30.4,178,No Failure
403,SM 3,L,297.4,308.6,1678,32.3,180,No Failure
404,SM 3,L,297.3,308.6,1273,59.8,182,No Failure
405,SM 3,L,297.3,308.6,1297,45.9,184,No Failure
406,SM 3,L,297.3,308.5,1350,57.6,186,No Failure
407,SM 3,L,297.4,308.6,1439,51.9,188,No Failure
408,NED 15,M,297.4,308.5,1600,42.1,190,No Failure
409,NED 15,M,297.4,308.6,1434,44.4,193,No Failure
410,SM 3,L,297.4,308.6,1459,41.3,196,No Failure
411,NED 15,M,297.5,308.6,1472,44.9,198,No Failure
412,SM 3,L,297.5,308.7,1429,44.3,201,No Failure
413,SM 3,L,297.5,308.6,1388,48.2,203,No Failure
414,SM 3,L,297.4,308.4,1573,34.5,205,No Failure
415,SM 3,L,297.4,308.4,1588,32.5,207,No Failure
416,SM 3,L,297.5,308.4,1511,42.8,209,No Failure
417,SM 3,L,297.4,308.5,1495,37.8,211,No Failure
418,SM 3,L,297.4,308.4,1394,50.1,213,No Failure
419,SM 3,L,297.4,308.4,2151,17.7,0,No Failure
420,NED 15,M,297.3,308.3,1501,38.2,2,No Failure
421,NED 15,M,297.3,308.3,1301,39.6,5,No Failure
422,M15066,M,297.3,308.3,1657,31.1,8,No Failure
423,SM 3,L,297.3,308.3,1333,55.2,11,No Failure
424,SM 3,L,297.3,308.3,1484,43.9,13,No Failure
425,SM 3,L,297.3,308.4,1430,45.7,15,No Failure
426,NED 15,M,297.3,308.4,1665,28.9,17,No Failure
427,SM 3,L,297.4,308.5,1501,44.9,20,No Failure
428,NED 15,M,297.5,308.5,1496,42.2,22,No Failure
429,NED 15,M,297.6,308.6,1595,36.9,25,No Failure
430,SM 3,L,297.5,308.6,1208,62.3,28,No Failure
431,SM 3,L,297.5,308.6,1596,37.1,30,No Failure
432,SM 3,L,297.5,308.5,1446,41.9,32,No Failure
433,NED 15,M,297.6,308.5,1466,39.7,34,No Failure
434,NED 15,M,297.6,308.5,1848,23.7,37,No Failure
435,NED 15,M,297.5,308.5,1484,44.7,40,No Failure
436,SM 3,L,297.4,308.3,1493,41.2,43,No Failure
437,SM 3,L,297.3,308.3,1504,36.3,45,No Failure
438,SM 3,L,297.3,308.3,1538,38.5,47,No Failure
439,SM 3,L,297.4,308.4,1341,52.2,49,No Failure
440,M15067,M,297.4,308.3,1535,34.6,51,No Failure
441,SM 3,L,297.4,308.5,1389,39.2,54,No Failure
442,SM 1,H,297.5,308.5,1393,46.6,56,No Failure
443,SM 3,L,297.4,308.5,1399,61.5,61,Power Failure
444,SM 1,H,297.4,308.5,1469,45.1,63,No Failure
445,SM 3,L,297.4,308.4,1582,37.2,68,No Failure
446,SM 3,L,297.5,308.6,1793,26.7,70,No Failure
447,SM 3,L,297.5,308.6,1452,39,72,No Failure
448,NED 15,M,297.6,308.7,1376,59.9,74,No Failure
449,SM 3,L,297.5,308.6,1552,44.9,77,No Failure
450,SM 3,L,297.6,308.7,1622,37.9,79,No Failure
451,NED 15,M,297.6,308.7,1419,41.7,81,No Failure
452,SM 1,H,297.5,308.6,1440,46.1,84,No Failure
453,NED 15,M,297.4,308.6,1643,31,89,No Failure
